V1,instution,city,zip,state_abbr,LOCALE,LATITUDE,LONGITUDE,urban_type,urban_description,vector_name,state_name,state_name_included,city_name_included
98,Roberto-Venn School of Luthiery,Phoenix,85007,AZ,11,33.45489,-112.086161,City,Large,,Arizona,FALSE,FALSE
99,Scottsdale Community College,Scottsdale,85256,AZ,41,33.51135,-111.885186,Rural,Fringe,,Arizona,FALSE,TRUE
100,South Mountain Community College,Phoenix,85042,AZ,11,33.382406,-112.032635,City,Large,,Arizona,FALSE,FALSE
101,Arizona Christian University,Glendale,85306-3216,AZ,21,33.622952,-112.181776,Suburb,Large,,Arizona,TRUE,FALSE
102,Universal Technical Institute of Arizona Inc,Avondale,85323,AZ,22,33.453005,-112.288123,Suburb,Midsize,,Arizona,TRUE,FALSE
103,Yavapai College,Prescott,86301,AZ,13,34.547495,-112.453395,City,Small,,Arizona,FALSE,FALSE
104,University of Arkansas at Little Rock,Little Rock,72204,AR,12,34.723254,-92.339778,City,Midsize,,Arkansas,TRUE,TRUE
105,University of Arkansas for Medical Sciences,Little Rock,72205-7199,AR,12,34.749048,-92.320046,City,Midsize,,Arkansas,TRUE,FALSE
106,Arkansas Baptist College,Little Rock,72202-6068,AR,12,34.734751,-92.290555,City,Midsize,,Arkansas,TRUE,FALSE
107,Arkansas Beauty School-Little Rock,Little Rock,72209,AR,12,34.672171,-92.343366,City,Midsize,,Arkansas,TRUE,TRUE
108,Arkansas Beauty College,Russellville,72801,AR,33,35.27902,-93.135369,Town,Remote,,Arkansas,TRUE,FALSE
109,Lyon College,Batesville,72501,AR,33,35.777619,-91.625354,Town,Remote,,Arkansas,FALSE,FALSE
110,Arkansas Technical School,North Little Rock,72114,AR,13,34.753843,-92.266429,City,Small,,Arkansas,TRUE,FALSE
111,Arthur's Beauty College,Fort Smith,72901-3342,AR,13,35.379955,-94.410967,City,Small,,Arkansas,FALSE,FALSE
112,University of Arkansas,Fayetteville,72701,AR,13,36.070009,-94.176981,City,Small,,Arkansas,TRUE,FALSE
113,University of Arkansas at Pine Bluff,Pine Bluff,71601,AR,13,34.244031,-92.018683,City,Small,,Arkansas,TRUE,TRUE
114,Arkansas State University-Beebe,Beebe,72012-1000,AR,31,35.074176,-91.895351,Town,Fringe,,Arkansas,TRUE,TRUE
115,Arkansas State University,Jonesboro,72401,AR,13,35.842388,-90.679988,City,Small,,Arkansas,TRUE,FALSE
116,Arkansas Tech University,Russellville,72801-2222,AR,33,35.293237,-93.13562,Town,Remote,,Arkansas,TRUE,FALSE
117,University of Arkansas at Monticello,Monticello,71656,AR,33,33.590909,-91.811153,Town,Remote,,Arkansas,TRUE,TRUE
118,Arthur's Beauty College,Jacksonville,72076,AR,21,34.891572,-92.102579,Suburb,Large,,Arkansas,FALSE,FALSE
119,Baptist Health College Little Rock,Little Rock,72210-2827,AR,12,34.713115,-92.40692,City,Midsize,,Arkansas,FALSE,TRUE
120,Black River Technical College,Pocahontas,72455,AR,41,36.239793,-90.951033,Rural,Fringe,,Arkansas,FALSE,FALSE
121,University of Central Arkansas,Conway,72035-0001,AR,13,35.077945,-92.457672,City,Small,,Arkansas,TRUE,FALSE
122,Central Baptist College,Conway,72034,AR,13,35.083838,-92.445021,City,Small,,Arkansas,FALSE,FALSE
123,Cossatot Community College of the University of Arkansas,De Queen,71832,AR,41,34.043389,-94.3673,Rural,Fringe,,Arkansas,TRUE,FALSE
124,Crowley's Ridge College,Paragould,72450,AR,41,36.064845,-90.584395,Rural,Fringe,,Arkansas,FALSE,FALSE
125,East Arkansas Community College,Forrest City,72335-2204,AR,32,35.041655,-90.767726,Town,Distant,,Arkansas,TRUE,FALSE
126,Eastern College of Health Vocations-Little Rock,Little Rock,72205,AR,12,34.75128,-92.341891,City,Midsize,,Arkansas,FALSE,TRUE
127,Paul Mitchell the School-Little Rock,North Little Rock,72117,AR,13,34.789913,-92.222202,City,Small,,Arkansas,FALSE,FALSE
128,National Park College,Hot Springs,71913,AR,23,34.512687,-93.119248,Suburb,Small,,Arkansas,FALSE,FALSE
129,University of Arkansas Community College-Batesville,Batesville,72503-3350,AR,33,35.792923,-91.615852,Town,Remote,,Arkansas,TRUE,TRUE
130,Harding University,Searcy,72149-5615,AR,32,35.247386,-91.726143,Town,Distant,,Arkansas,FALSE,FALSE
131,Henderson State University,Arkadelphia,71999-0001,AR,32,34.128155,-93.059703,Town,Distant,,Arkansas,FALSE,FALSE
132,Hendrix College,Conway,72032-3080,AR,13,35.101565,-92.443256,City,Small,,Arkansas,FALSE,FALSE
133,Hot Springs Beauty College,Hot Springs,71901,AR,13,34.496057,-93.037277,City,Small,,Arkansas,FALSE,TRUE
134,Jefferson Regional School of Nursing,Pine Bluff,71603,AR,13,34.187831,-92.018045,City,Small,,Arkansas,FALSE,FALSE
135,John Brown University,Siloam Springs,72761,AR,32,36.189812,-94.560283,Town,Distant,,Arkansas,FALSE,FALSE
136,Career Academy of Hair Design,Springdale,72764-7128,AR,13,36.167605,-94.12947,City,Small,,Arkansas,FALSE,FALSE
137,Academy of Salon and Spa,Fort Smith,72901,AR,13,35.38097,-94.41616,City,Small,,Arkansas,FALSE,FALSE
138,Arkansas State University Mid-South,West Memphis,72301-3829,AR,21,35.145736,-90.22285,Suburb,Large,,Arkansas,TRUE,FALSE
139,Arkansas Northeastern College,Blytheville,72316-1109,AR,41,35.898597,-89.921005,Rural,Fringe,,Arkansas,TRUE,FALSE
140,New Tyler Barber College Inc,North Little Rock,72114-4973,AR,13,34.760085,-92.254171,City,Small,,Arkansas,FALSE,FALSE
141,North Arkansas College,Harrison,72601-5508,AR,33,36.219909,-93.08844,Town,Remote,,Arkansas,TRUE,FALSE
142,Northwest Technical Institute,Springdale,72764,AR,13,36.178032,-94.115346,City,Small,,Arkansas,FALSE,FALSE
143,Ouachita Baptist University,Arkadelphia,71998-0001,AR,32,34.126093,-93.052471,Town,Distant,,Arkansas,FALSE,FALSE
144,Arkansas State University Three Rivers,Malvern,72104-0816,AR,31,34.378745,-92.821416,Town,Fringe,,Arkansas,TRUE,FALSE
145,Ozarka College,Melbourne,72556-0010,AR,43,36.053031,-91.896355,Rural,Remote,,Arkansas,FALSE,FALSE
146,University of the Ozarks,Clarksville,72830,AR,33,35.476278,-93.467221,Town,Remote,,Arkansas,FALSE,FALSE
147,University of Arkansas Community College-Morrilton,Morrilton,72110,AR,32,35.172136,-92.728507,Town,Distant,,Arkansas,TRUE,TRUE
148,Philander Smith College,Little Rock,72202-3799,AR,12,34.737131,-92.283015,City,Midsize,,Arkansas,FALSE,FALSE
149,Phillips Community College of the University of Arkansas,Helena,72342-0785,AR,41,34.546155,-90.616884,Rural,Fringe,,Arkansas,TRUE,FALSE
150,Southeast Arkansas College,Pine Bluff,71603,AR,13,34.210309,-92.025936,City,Small,,Arkansas,TRUE,FALSE
151,Professional Cosmetology Education Center,El Dorado,71730-4009,AR,33,33.216032,-92.664101,Town,Remote,,Arkansas,FALSE,FALSE
152,University of Arkansas-Pulaski Technical College,North Little Rock,72118-3347,AR,13,34.782783,-92.299184,City,Small,,Arkansas,TRUE,FALSE
153,University of Arkansas Hope-Texarkana,Hope,71801,AR,32,33.641665,-93.596762,Town,Distant,,Arkansas,TRUE,TRUE
154,University of Arkansas Community College Rich Mountain,Mena,71953,AR,33,34.591449,-94.219799,Town,Remote,,Arkansas,TRUE,FALSE
155,Paul Mitchell the School-Arkansas,Fayetteville,72703,AR,13,36.126373,-94.153892,City,Small,,Arkansas,TRUE,FALSE
156,Searcy Beauty College,Searcy,72143,AR,32,35.239148,-91.735135,Town,Distant,,Arkansas,FALSE,TRUE
157,Shorter College,N Little Rock,72114,AR,13,34.75933,-92.261331,City,Small,,Arkansas,FALSE,FALSE
158,Williams Baptist University,Walnut Ridge,72476,AR,42,36.125676,-90.940277,Rural,Distant,,Arkansas,FALSE,FALSE
159,South Arkansas Community College,El Dorado,71731-7010,AR,33,33.209446,-92.666087,Town,Remote,,Arkansas,TRUE,FALSE
160,Southern Arkansas University Main Campus,Magnolia,71753,AR,33,33.291618,-93.235922,Town,Remote,,Arkansas,TRUE,FALSE
161,Southern Arkansas University Tech,Camden,71701-1906,AR,42,33.628367,-92.721629,Rural,Distant,,Arkansas,TRUE,FALSE
162,Velvatex College of Beauty Culture,Little Rock,72202-5452,AR,12,34.735685,-92.289597,City,Midsize,,Arkansas,FALSE,FALSE
163,University of Arkansas-Fort Smith,Fort Smith,72913-3649,AR,13,35.384184,-94.373729,City,Small,,Arkansas,TRUE,TRUE
164,Academy of Art University,San Francisco,94105,CA,11,37.787943,-122.400578,City,Large,,California,FALSE,FALSE
165,Academy of Chinese Culture and Health Sciences,Oakland,94612,CA,11,37.805972,-122.269839,City,Large,,California,FALSE,FALSE
166,College of Alameda,Alameda,94501,CA,21,37.781017,-122.279303,Suburb,Large,,California,FALSE,TRUE
167,Allan Hancock College,Santa Maria,93454-6399,CA,12,34.943716,-120.421144,City,Midsize,,California,FALSE,FALSE
168,American Academy of Dramatic Arts-Los Angeles,Los Angeles,90028,CA,11,34.095378,-118.343701,City,Large,,California,FALSE,TRUE
169,Berkeley School of Theology,Berkeley,94704-3029,CA,12,37.865252,-122.256149,City,Midsize,,California,FALSE,TRUE
170,American Film Institute Conservatory,Los Angeles,90027-1625,CA,11,34.10767,-118.310018,City,Large,,California,FALSE,FALSE
171,American Beauty College,West Covina,91790,CA,21,34.069367,-117.936959,Suburb,Large,,California,FALSE,FALSE
172,American Career College-Los Angeles,Los Angeles,90004,CA,11,34.079323,-118.292481,City,Large,,California,FALSE,TRUE
173,American Conservatory Theater,San Francisco,94102,CA,11,37.786923,-122.410265,City,Large,,California,FALSE,FALSE
174,American River College,Sacramento,95841-4286,CA,21,38.65085,-121.349672,Suburb,Large,,California,FALSE,FALSE
175,Antelope Valley Community College District,Lancaster,93536-5426,CA,21,34.676207,-118.186166,Suburb,Large,,California,FALSE,FALSE
176,Art Center College of Design,Pasadena,91103,CA,12,34.169031,-118.185102,City,Midsize,,California,FALSE,FALSE
177,Associated Technical College-Los Angeles,Los Angeles,90017-1604,CA,11,34.056102,-118.272364,City,Large,,California,FALSE,TRUE
178,Associated Technical College-San Diego,San Diego,92108-1630,CA,11,32.773178,-117.135196,City,Large,,California,FALSE,TRUE
179,Azusa Pacific University,Azusa,91702-7000,CA,21,34.130047,-117.888375,Suburb,Large,,California,FALSE,TRUE
180,Bakersfield College,Bakersfield,93305-1299,CA,11,35.40911,-118.973753,City,Large,,California,FALSE,TRUE
181,Barstow Community College,Barstow,92311,CA,32,34.870285,-117.023412,Town,Distant,,California,FALSE,TRUE
182,Bellus Academy-Chula Vista,Chula Vista,91911,CA,11,32.614773,-117.083738,City,Large,,California,FALSE,TRUE
183,Bethesda University,Anaheim,92801,CA,11,33.842295,-117.941323,City,Large,,California,FALSE,FALSE
184,Biola University,La Mirada,90639-0001,CA,21,33.906203,-118.014374,Suburb,Large,,California,FALSE,FALSE
185,Brownson Technical School,Anaheim,92805,CA,11,33.819032,-117.905774,City,Large,,California,FALSE,FALSE
186,Bryan University,Tempe,85281,AZ,12,33.437779,-111.944197,City,Midsize,,Arizona,FALSE,FALSE
187,Butte College,Oroville,95965-8399,CA,42,39.649782,-121.644831,Rural,Distant,,California,FALSE,FALSE
188,California Institute of Integral Studies,San Francisco,94103,CA,11,37.774924,-122.416102,City,Large,,California,TRUE,FALSE
189,Cabrillo College,Aptos,95003,CA,22,36.989448,-121.924797,Suburb,Midsize,,California,FALSE,FALSE
190,California Baptist University,Riverside,92504-3297,CA,11,33.929321,-117.425619,City,Large,,California,TRUE,FALSE
191,California College of the Arts,San Francisco,94107-2247,CA,11,37.767485,-122.399451,City,Large,,California,TRUE,FALSE
192,University of California-Hastings College of Law,San Francisco,94102-4978,CA,11,37.781137,-122.4157,City,Large,,California,TRUE,FALSE
193,California Institute of Technology,Pasadena,91125,CA,12,34.137349,-118.125878,City,Midsize,,California,TRUE,FALSE
194,California Lutheran University,Thousand Oaks,91360-2787,CA,12,34.224566,-118.878924,City,Midsize,,California,TRUE,FALSE
195,California Polytechnic State University-San Luis Obispo,San Luis Obispo,93407,CA,23,35.299513,-120.65731100000001,Suburb,Small,,California,TRUE,TRUE
196,Alliant International University-San Diego,San Diego,92131,CA,11,32.897056,-117.094398,City,Large,,California,FALSE,TRUE
197,California State University-Bakersfield,Bakersfield,93311-1099,CA,11,35.350005,-119.104711,City,Large,,California,TRUE,TRUE
198,California State University-Stanislaus,Turlock,95382-0299,CA,23,37.52577,-120.852511,Suburb,Small,,California,TRUE,FALSE
199,California State University-San Bernardino,San Bernardino,92407-2393,CA,12,34.182622,-117.323801,City,Midsize,,California,TRUE,TRUE
200,California State Polytechnic University-Pomona,Pomona,91768,CA,21,34.057912,-117.821476,Suburb,Large,,California,TRUE,TRUE
201,California State University-Chico,Chico,95929-0150,CA,12,39.729712,-121.844859,City,Midsize,,California,TRUE,TRUE
202,California State University-Dominguez Hills,Carson,90747-0005,CA,13,33.864766,-118.255917,City,Small,,California,TRUE,FALSE
203,California State University-Fresno,Fresno,93740,CA,11,36.811154,-119.744569,City,Large,,California,TRUE,TRUE
204,California State University-Fullerton,Fullerton,92831-3599,CA,21,33.881506,-117.885446,Suburb,Large,,California,TRUE,TRUE
205,California State University-East Bay,Hayward,94542,CA,21,37.657694,-122.054135,Suburb,Large,,California,TRUE,FALSE
206,California State University-Long Beach,Long Beach,90840-0115,CA,11,33.782818,-118.11204,City,Large,,California,TRUE,TRUE
207,California State University-Los Angeles,Los Angeles,90032-8506,CA,11,34.066927,-118.168965,City,Large,,California,TRUE,TRUE
208,California State University-Northridge,Northridge,91330,CA,11,34.240126,-118.529319,City,Large,,California,TRUE,TRUE
209,California State University-Sacramento,Sacramento,95819-2694,CA,11,38.559415,-121.423549,City,Large,,California,TRUE,TRUE
210,University of California-Berkeley,Berkeley,94720,CA,12,37.871918,-122.260463,City,Midsize,,California,TRUE,TRUE
211,University of California-Davis,Davis,95616-8678,CA,23,38.539667,-121.749567,Suburb,Small,,California,TRUE,TRUE
212,University of California-Irvine,Irvine,92697,CA,11,33.648434,-117.841248,City,Large,,California,TRUE,TRUE
213,University of California-Los Angeles,Los Angeles,90095-1405,CA,11,34.07178,-118.442179,City,Large,,California,TRUE,TRUE
214,University of California-Riverside,Riverside,92521,CA,11,33.97246,-117.32741,City,Large,,California,TRUE,TRUE
215,University of California-San Diego,La Jolla,92093,CA,11,32.877749,-117.235866,City,Large,,California,TRUE,FALSE
216,University of California-San Francisco,San Francisco,94143-0244,CA,11,37.763737,-122.458489,City,Large,,California,TRUE,TRUE
217,University of California-Santa Barbara,Santa Barbara,93106,CA,22,34.416297,-119.846426,Suburb,Midsize,,California,TRUE,TRUE
218,University of California-Santa Cruz,Santa Cruz,95064-1011,CA,13,36.995584,-122.058801,City,Small,,California,TRUE,TRUE
219,Sofia University,Palo Alto,94303,CA,13,37.430325,-122.10866,City,Small,,California,FALSE,FALSE
220,California Beauty School,Modesto,95354,CA,12,37.645217,-120.99689,City,Midsize,,California,TRUE,FALSE
221,California Christian College,Fresno,93727,CA,11,36.749366,-119.711123,City,Large,,California,TRUE,FALSE
222,Haven University,Garden Grove,92840-1340,CA,21,33.777392,-117.939412,Suburb,Large,,California,FALSE,FALSE
223,California Hair Design Academy,La Mesa,91942-5055,CA,21,32.765221,-117.024261,Suburb,Large,,California,TRUE,FALSE
224,California Institute of the Arts,Valencia,91355-2397,CA,21,34.39327,-118.566837,Suburb,Large,,California,TRUE,FALSE
225,California State University Maritime Academy,Vallejo,94590-8181,CA,12,38.069061,-122.231551,City,Midsize,,California,TRUE,FALSE
