"","INSTNM","CITY","STABBR","ZIP","HCM2","ST_FIPS","REGION","LOCALE","LOCALE2","LATITUDE","LONGITUDE","RELAFFIL","SATVR25","SATVR75","SATMT25","SATMT75","SATWR25","SATWR75","SATVRMID","SATMTMID","SATWRMID","ACTCM25","ACTCM75","ACTEN25","ACTEN75","ACTMT25","ACTMT75","ACTWR25","ACTWR75","ACTCMMID","ACTENMID","ACTMTMID","ACTWRMID","SAT_AVG","SAT_AVG_ALL","NPT4_PUB","NPT45_PRIV","NPT4_PROG","NPT4_OTHER","TUITIONFEE_IN","TUITIONFEE_OUT","PCTPELL"
"693","Saint Vincent de Paul Regional Seminary","Boynton Beach","FL","33436-4899",0,12,5,"21",NA,"26.516538","-80.125185","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"694","Ridge Technical College","Winter Haven","FL","33881-9518",0,12,5,"13",NA,"28.076632","-81.654463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22744",NA,NA,NA,"3918","10398","0.737"
"695","Ringling College of Art and Design","Sarasota","FL","34234-5895",0,12,5,"13",NA,"27.360931","-82.547803",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55192",NA,NA,"51170","51170","0.2432"
"696","Robert Morgan Educational Center and Technical College","Miami","FL","33177-2427",0,12,5,"21",NA,"25.599247","-80.390054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12458",NA,NA,NA,NA,NA,"0.1872"
"697","Rollins College","Winter Park","FL","32789-4499",0,12,5,"21",NA,"28.592787","-81.349239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36703",NA,NA,"54740","54740","0.1912"
"698","First Coast Technical College","Saint Augustine","FL","32084-1919",0,12,5,"23",NA,"29.924377","-81.345829",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19780",NA,NA,NA,NA,NA,"0.375"
"699","Saint Leo University","Saint Leo","FL","33574-6665",0,12,5,"23",NA,"28.336776","-82.257801","30","470","590","460","560",NA,NA,"530","510",NA,"19","25","18","24","18","25",NA,NA,"22","21","22",NA,"1063","1063",NA,"22440",NA,NA,"26050","26050","0.4533"
"700","St Petersburg College","St. Petersburg","FL","33701",0,12,5,"13",NA,"27.90242","-82.717331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2212",NA,NA,NA,"2682","9286","0.3316"
"701","Pinellas Technical College-St. Petersburg","Saint Petersburg","FL","33711-2209",0,12,5,"11",NA,"27.761183","-82.681534",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3973",NA,NA,NA,NA,NA,"0.227"
"702","Santa Fe College","Gainesville","FL","32606-6210",0,12,5,"22",NA,"29.681037","-82.433143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10486",NA,NA,NA,"2563","9189","0.275"
"703","Suncoast Technical College","Sarasota","FL","34233-1798",0,12,5,"21",NA,"27.285486","-82.500827",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8084",NA,NA,NA,NA,NA,"0.1188"
"704","Seminole State College of Florida","Sanford","FL","32773-6199",0,12,5,"13",NA,"28.745482","-81.308003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3902",NA,NA,NA,"3131","11456","0.2932"
"705","Sheridan Technical College","Hollywood","FL","33021",0,12,5,"21",NA,"26.031736","-80.198024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1483",NA,NA,NA,NA,NA,"0.2148"
"706","St. John Vianney College Seminary","Miami","FL","33165-3244",0,12,5,"21",NA,"25.742579","-80.337411","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23100","23100","0.1053"
"707","Saint Johns River State College","Palatka","FL","32177",0,12,5,"32",NA,"29.647516","-81.681387",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5015",NA,NA,NA,"2830","10347","0.2396"
"708","South Florida State College","Avon Park","FL","33825-9356",0,12,5,"41",NA,"27.56974","-81.508667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3762",NA,NA,NA,"3165","11859","0.4402"
"709","University of South Florida","Tampa","FL","33620-9951",0,12,5,"11",NA,"28.061458","-82.413232",NA,"580","660","560","670",NA,NA,"620","615",NA,"24","29","23","30","22","27",NA,NA,"27","27","25",NA,"1245","1245","8318",NA,NA,NA,"6410","17324","0.3196"
"710","St. Thomas University","Miami Gardens","FL","33054-6459",0,12,5,"21",NA,"25.922071","-80.253273","30","450","530","410","530",NA,NA,"490","470",NA,"16","21","14","21","15","19",NA,NA,"19","18","17",NA,"971","971",NA,"30184",NA,NA,"32940","32940","0.2265"
"711","Stetson University","DeLand","FL","32723",0,12,5,"13",NA,"29.035475","-81.300746",NA,"570","650","520","645",NA,NA,"610","583",NA,"22","29","21","28","18","26",NA,NA,"26","25","22",NA,"1207","1207",NA,"23773",NA,NA,"50800","50800","0.3418"
"712","Southeastern University","Lakeland","FL","33801-6034",0,12,5,"12",NA,"28.029733","-81.918382","27","500","610","460","573",NA,NA,"555","517",NA,"19","25","19","26","17","24",NA,NA,"22","23","21",NA,"1112","1112",NA,"29580",NA,NA,"28320","28320","0.2742"
"713","Bene's Career Academy","New Port Richey","FL","34652",0,12,5,"21",NA,"28.259612","-82.728584",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5096"
"714","Riveroak Technical College","Live Oak","FL","32064",0,12,5,"33",NA,"30.281999","-82.992512",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13837",NA,NA,NA,NA,NA,"0.4799"
"715","Tallahassee Community College","Tallahassee","FL","32304-2895",0,12,5,"12",NA,"30.443866","-84.339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4136",NA,NA,NA,"2026","8062","0.3659"
"716","Talmudic College of Florida","Miami Beach","FL","33140-3854",0,12,5,"13",NA,"25.811996","-80.136293","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15250","15250","0.4643"
"717","Altierus Career College-Tampa","Tampa","FL","33614-5801",0,12,5,"11",NA,"27.996582","-82.497616",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24345",NA,NA,"15594","15594","0.5793"
"718","The University of Tampa","Tampa","FL","33606-1490",0,12,5,"11",NA,"27.948455","-82.46483",NA,"540","630","530","610",NA,NA,"585","570",NA,"23","28","22","28","20","26",NA,NA,"26","25","23",NA,"1184","1184",NA,"36583",NA,NA,"31274","31274","0.1875"
"719","Big Bend Technical College","Perry","FL","32348",0,12,5,"41",NA,"30.077954","-83.565783",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12010",NA,NA,NA,NA,NA,"0.3028"
"720","Tom P. Haney Technical College","Panama City","FL","32405",0,12,5,"22",NA,"30.203363","-85.646585",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7615",NA,NA,NA,NA,NA,"0.4803"
"721","Trinity Baptist College","Jacksonville","FL","32221",0,12,5,"11",NA,"30.311171","-81.79626","54","453","570","413","530",NA,NA,"512","472",NA,"16","21","14","21","15","19",NA,NA,"19","18","17",NA,"990","990",NA,"21545",NA,NA,"13180","13180","0.5584"
"722","Trinity College of Florida","Trinity","FL","34655-4401",0,12,5,"21",NA,"28.194732","-82.678318","42","450","530","410","520",NA,NA,"490","465",NA,"15","27","13","30","15","19",NA,NA,"21","22","17",NA,"984","984",NA,"24338",NA,NA,"16300","16300","0.5701"
"723","Valencia College","Orlando","FL","32835",0,12,5,"11",NA,"28.520898","-81.471466",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14742",NA,NA,NA,"2474","9383","0.358"
"724","Warner University","Lake Wales","FL","33859-8797",0,12,5,"41",NA,"27.825751","-81.599972","57","440","540","390","530",NA,NA,"490","460",NA,"15","23","13","22","15","23",NA,NA,"19","18","19",NA,"975","975",NA,NA,NA,NA,"26744","26744","0.5805"
"725","Florida Panhandle Technical College","Chipley","FL","32428-1618",0,12,5,"32",NA,"30.77449","-85.553345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2203",NA,NA,NA,NA,NA,"0.4059"
"726","Webber International University","Babson Park","FL","33827-0096",0,12,5,"31",NA,"27.838778","-81.532315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30881",NA,NA,"29534","29534","0.5457"
"727","Rasmussen University-Florida","Ocala","FL","34474-6226",0,12,5,"13",NA,"29.140099","-82.197343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20108",NA,NA,"11707","11707","0.6077"
"728","The University of West Florida","Pensacola","FL","32514-5750",0,12,5,"13",NA,"30.549076","-87.218511",NA,"530","630","510","600",NA,NA,"580","555",NA,"21","27","20","27","18","26",NA,NA,"24","24","22",NA,"1164","1164","8152",NA,NA,NA,"6360","19241","0.3283"
"729","Orange Technical College-Westside Campus","Winter Garden","FL","34787-3733",0,12,5,"21",NA,"28.559574","-81.571532",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9104",NA,NA,NA,NA,NA,"0.1035"
"730","William T McFatter Technical College","Davie","FL","33317",0,12,5,"21",NA,"26.085022","-80.232201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10815",NA,NA,NA,NA,NA,"0.183"
"731","Orange Technical College-East Campus","Winter Park","FL","32789-3049",0,12,5,"21",NA,"28.604386","-81.36174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19790",NA,NA,NA,NA,NA,"0.0785"
"732","Withlacoochee Technical College","Inverness","FL","34450-4301",0,12,5,"23",NA,"28.834861","-82.345563",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.3928"
"733","Abraham Baldwin Agricultural College","Tifton","GA","31793-2601",0,13,5,"32",NA,"31.481889","-83.528281",NA,"480","590","460","540",NA,NA,"535","500",NA,"16","22","14","21","16","20",NA,NA,"19","18","18",NA,"1026","1026","7203",NA,NA,NA,"3565","10471","0.3712"
"734","Agnes Scott College","Decatur","GA","30030-3770",0,13,5,"21",NA,"33.769268","-84.295459","66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16436",NA,NA,"44250","44250","0.4083"
"735","Interactive College of Technology-Chamblee","Chamblee","GA","30341",0,13,5,"21",NA,"33.887956","-84.303159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10650","10650","0.6945"
"736","Interactive College of Technology-Morrow","Morrow","GA","30260",0,13,5,"21",NA,"33.57233","-84.336098",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10250","10250","0.6222"
"737","Albany Technical College","Albany","GA","31701",0,13,5,"13",NA,"31.55434","-84.174284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8622",NA,NA,NA,"2996","5396","0.5923"
"738","Albany State University","Albany","GA","31705",0,13,5,"13",NA,"31.56928","-84.141825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14904",NA,NA,NA,"6053","17433","0.6185"
"739","Andrew College","Cuthbert","GA","39840-5550",0,13,5,"32",NA,"31.772321","-84.795021","71","460","600","460","580",NA,NA,"530","520",NA,"19","21","15","20","17","20",NA,NA,"20","18","19",NA,"1053","1053",NA,"24712",NA,NA,"18214","18214","0.6291"
"740","The Art Institute of Atlanta","Atlanta","GA","30328-1635",0,13,5,"12",NA,"33.936024","-84.355252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38009",NA,NA,"19354","19354","0.5614"
"741","Georgia Career Institute","Conyers","GA","30094",0,13,5,"21",NA,"33.64336","-84.018321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6017"
"742","Atlanta Technical College","Atlanta","GA","30310-4446",0,13,5,"11",NA,"33.712009","-84.404995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"319",NA,NA,NA,"3164","5564","0.632"
"743","Point University","West Point","GA","31833",0,13,5,"32",NA,"32.87912","-85.184931","48","460","560","430","570",NA,NA,"510","500",NA,"16","21","14","21","16","18",NA,NA,"19","18","17",NA,"1004","1004",NA,"17858",NA,NA,"21850","21850","0.431"
"744","Atlanta Metropolitan State College","Atlanta","GA","30310-4448",0,13,5,"11",NA,"33.70893","-84.404659",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6649",NA,NA,NA,"3505","10131","0.5381"
"745","Atlanta's John Marshall Law School","Atlanta","GA","30303",0,13,5,"11",NA,"33.793394","-84.387898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"746","Atlanta School of Massage","Atlanta","GA","30338",0,13,5,"21",NA,"33.922131","-84.311332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31160",NA,NA,NA,NA,"0.5222"
"747","Clark Atlanta University","Atlanta","GA","30314-4391",0,13,5,"11",NA,"33.747628","-84.412584","71","450","543","410","510",NA,NA,"497","460",NA,"17","20",NA,NA,NA,NA,NA,NA,"19",NA,NA,NA,"970","970",NA,"38413",NA,NA,"24012","24012","0.6796"
"748","Augusta Technical College","Augusta","GA","30906",0,13,5,"12",NA,"33.418992","-82.048439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13041",NA,NA,NA,"3232","5632","0.4872"
"749","Berry College","Mount Berry","GA","30149",0,13,5,"23",NA,"34.290414","-85.189202",NA,"590","678","530","638",NA,NA,"634","584",NA,"24","30","24","32","22","28",NA,NA,"27","28","25",NA,"1267","1267",NA,"27037",NA,NA,"38656","38656","0.2258"
"750","Beulah Heights University","Atlanta","GA","30316",0,13,5,"11",NA,"33.736993","-84.35768","42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8492","8492","0.2804"
"751","Brenau University","Gainesville","GA","30501-3668",0,13,5,"13",NA,"34.303117","-83.821513",NA,"530","590","470","540",NA,NA,"560","505",NA,"21","25","18","23","16","23",NA,NA,"23","21","20",NA,"1107","1107",NA,"19475",NA,NA,"32530","32530","0.4509"
"752","Brewton-Parker College","Mount Vernon","GA","30445",0,13,5,"42",NA,"32.185718","-82.586136","54","440","510","440","500",NA,NA,"475","470",NA,"18","23","16","20","18","25",NA,NA,"21","18","22",NA,"990","990",NA,"21549",NA,NA,"19220","19220","0.4144"
"753","College of Coastal Georgia","Brunswick","GA","31520-3644",0,13,5,"13",NA,"31.182745","-81.485973",NA,"405","520","400","498",NA,NA,"463","449",NA,"16","22","16","22","16","21",NA,NA,"19","19","19",NA,"965","965","13258",NA,NA,NA,"3933","10839","0.3891"
"754","West Georgia Technical College","Waco","GA","30182",0,13,5,"41",NA,"33.691657","-85.183666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2127",NA,NA,NA,"3052","5452","0.4019"
"755","Clayton  State University","Morrow","GA","30260-0285",0,13,5,"21",NA,"33.594079","-84.328174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10635",NA,NA,NA,"5568","16290","0.51"
"756","Columbia Theological Seminary","Decatur","GA","30030-4118",0,13,5,"21",NA,"33.764292","-84.281695","66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"757","Columbus Technical College","Columbus","GA","31904-6572",0,13,5,"12",NA,"32.508076","-84.978551",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6329",NA,NA,NA,"3042","5442","0.5725"
"758","Columbus State University","Columbus","GA","31907-5645",0,13,5,"12",NA,"32.50096","-84.94106",NA,"440","570","430","560",NA,NA,"505","495",NA,"18","24","17","24","16","23",NA,NA,"21","21","20",NA,"1043","1043","13697",NA,NA,NA,"6241","17295","0.4299"
"759","Georgia Northwestern Technical College","Rome","GA","30161",0,13,5,"13",NA,"34.224673","-85.171361",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4038",NA,NA,NA,"3062","5462","0.4342"
"760","Covenant College","Lookout Mountain","GA","30750-4164",0,13,5,"41",NA,"34.965161","-85.375066","97","550","660","520","640",NA,NA,"605","580",NA,"23","29","22","33","21","27",NA,NA,"26","28","24",NA,"1222","1222",NA,"27129",NA,NA,"37770","37770","0.2023"
"761","Dalton State College","Dalton","GA","30720-3797",0,13,5,"13",NA,"34.774221","-85.002775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5240",NA,NA,NA,"3683","10589","0.4637"
"762","Pro Way Hair School","Stone Mountain","GA","30083-3254",0,13,5,"21",NA,"33.801802","-84.205183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.4957"
"763","South University-Savannah","Savannah","GA","31406",0,13,5,"12",NA,"31.999571","-81.105435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17014","17014","0.5488"
"764","East Georgia State College","Swainsboro","GA","30401",0,13,5,"33",NA,"32.594944","-82.309021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8696",NA,NA,NA,"3136","9488","0.5458"
"765","Emmanuel College","Franklin Springs","GA","30639",0,13,5,"32",NA,"34.283641","-83.14822","47","490","590","490","570",NA,NA,"540","530",NA,"17","24","17","25","18","23",NA,NA,"21","21","21",NA,"1070","1070",NA,"21477",NA,NA,"21636","21636","0.3462"
"766","Emory University","Atlanta","GA","30322",0,13,5,"11",NA,"33.790183","-84.325512","71","690","750","730","790",NA,NA,"720","760",NA,"32","34",NA,NA,NA,NA,NA,NA,"33",NA,NA,NA,"1480","1480",NA,"47322",NA,NA,"55468","55468","0.196"
"767","Georgia Highlands College","Rome","GA","30161-3897",0,13,5,"41",NA,"34.169791","-85.207356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6848",NA,NA,NA,"3344","9696","0.3889"
"768","Fort Valley State University","Fort Valley","GA","31030-4313",0,13,5,"31",NA,"32.537595","-83.89537",NA,"400","480","410","470",NA,NA,"440","440",NA,"16","19","16","20","15","20",NA,NA,"18","18","18",NA,"921","921","13320",NA,NA,NA,"5832","16554","0.7628"
"769","Grady Health System Professional Schools","Atlanta","GA","30303-3050",0,13,5,"11",NA,"33.751852","-84.381561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.3284"
"770","Georgia Institute of Technology-Main Campus","Atlanta","GA","30332-0530",0,13,5,"11",NA,"33.77242","-84.394832",NA,"630","730","680","770",NA,NA,"680","725",NA,"30","34","30","35","29","34",NA,NA,"32","33","32",NA,"1423","1423","14820",NA,NA,NA,"12852","33964","0.1333"
"771","Georgia Southwestern State University","Americus","GA","31709-4693",0,13,5,"32",NA,"32.054662","-84.217738",NA,"510","610","480","560",NA,NA,"560","520",NA,"19","23","19","24","18","22",NA,NA,"21","22","20",NA,"1082","1082","12567",NA,NA,NA,"5464","16186","0.3888"
"772","Georgia College & State University","Milledgeville","GA","31061",0,13,5,"32",NA,"33.082787","-83.231962",NA,"550","640","520","620",NA,NA,"595","570",NA,"21","27","21","28","19","26",NA,NA,"24","25","23",NA,"1176","1176","19827",NA,NA,NA,"9524","28704","0.1718"
"773","Georgia Southern University","Statesboro","GA","30460-8126",0,13,5,"32",NA,"32.426153","-81.784045",NA,"500","610","490","590",NA,NA,"555","540",NA,"18","24","17","24","17","24",NA,NA,"21","21","21",NA,"1091","1091","15851",NA,NA,NA,"6485","17539","0.3633"
"774","Georgia State University","Atlanta","GA","30303-3083",0,13,5,"11",NA,"33.7527","-84.38667",NA,"530","650","520","640",NA,NA,"590","580",NA,"19","27","18","27","18","26",NA,NA,"23","23","22",NA,"1165","1165","17738",NA,NA,NA,"9286","24517","0.4918"
"775","University of Georgia","Athens","GA","30602",0,13,5,"12",NA,"33.956262","-83.374039",NA,"640","720","630","730",NA,NA,"680","680",NA,"29","33","32","35","28","32",NA,NA,"31","34","30",NA,"1386","1386","14995",NA,NA,NA,"12068","31108","0.1916"
"776","Gordon State College","Barnesville","GA","30204",0,13,5,"32",NA,"33.04571","-84.154508",NA,"470","550","430","530",NA,NA,"510","480",NA,"16","23","14","24","15","24",NA,NA,"20","19","20",NA,"1010","1010","8925",NA,NA,NA,"3789","10695","0.4686"
"777","Southern Crescent Technical College","Griffin","GA","30223-2042",0,13,5,"21",NA,"33.255438","-84.291662",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7412",NA,NA,NA,"3126","5526","0.5262"
"778","Gupton Jones College of Funeral Service","Decatur","GA","30035-4022",0,13,5,"21",NA,"33.710709","-84.179775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12740","12740","0.7519"
"779","Gwinnett College-Lilburn","Lilburn","GA","30047-3447",0,13,5,"21",NA,"33.901271","-84.121874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9925","9925","0.875"
"780","Gwinnett Technical College","Lawrenceville","GA","30043-5702",0,13,5,"21",NA,"33.962763","-84.066224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12953",NA,NA,NA,"3236","5636","0.3735"
"781","Interdenominational Theological Center","Atlanta","GA","30314-4143",0,13,5,"11",NA,"33.752338","-84.409207","42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"782","LaGrange College","Lagrange","GA","30240-2999",0,13,5,"32",NA,"33.038564","-85.043113","71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26041",NA,NA,"32840","32840","0.4027"
"783","Lanier Technical College","Gainesville","GA","30507",0,13,5,"41",NA,"34.330323","-83.778107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6628",NA,NA,NA,"3666","6666","0.2942"
"784","Life University","Marietta","GA","30060",0,13,5,"13",NA,"33.932781","-84.514729",NA,"450","540","440","545",NA,NA,"495","493",NA,"17","21","14","21","16","23",NA,NA,"19","18","20",NA,"997","997",NA,"32131",NA,NA,"13911","13911","0.3911"
"785","Chattahoochee Technical College","Marietta","GA","30060",0,13,5,"21",NA,"33.929092","-84.553722",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3068",NA,NA,NA,"3202","5602","0.333"
"786","Herzing University-Atlanta","Atlanta","GA","30303",0,13,5,"11",NA,"33.754218","-84.387251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14200","14200","0.7374"
